headshot,name,accountAge,first-indexed,last-indexed,UserId,game stats.highest-indexed.worth,game stats.highest-indexed.Heart,game stats.unique-indexed,game stats.total-index-worth,game stats.upgrades,game stats.best-drop,game stats.best-drop-worth,game stats.cases,game stats.highest-stars,game stats.highest-indexed.Heroic Helmet (Cyberpunk),game stats.highest-indexed.Fresh Socks (Billie Jean),game stats.highest-indexed.Party Sparkler,game stats.highest-indexed.Lush Bouquet,game stats.highest-indexed.Lol Pop,game stats.highest-indexed.Diamond,game stats.highest-indexed.Bunny Muffin (Gold),game stats.highest-indexed.Desk Calendar,game stats.highest-indexed.Gem Signet (Old Bronze),game stats.highest-indexed.Ring,game stats.highest-indexed.Lol Pop (Gold Star),game stats.highest-indexed.None,game stats.highest-indexed.Jelly Bunny,game stats.highest-indexed.Astral Shard (Crystal Punk),game stats.highest-indexed.Artisan Brick (Gold Block),game stats.highest-indexed.Evil Eye (8 Ball),game stats.highest-indexed.Snake Box,game stats.highest-indexed.Cupid Charm (Crystal Clear),game stats.highest-indexed.Mighty Arm (Body Builder),game stats.highest-indexed.Evil Eye,game stats.highest-indexed.Genie Lamp (Lava Lamp),game stats.highest-indexed.Precious Peach (Yin Yang),game stats.highest-indexed.Gem Signet (Death Star),game stats.highest-indexed.Eternal Candle (Bubble Bath),game stats.highest-indexed.Toy Bear (Fazbear),game stats.highest-indexed.Lunar Snake,game stats.highest-indexed.Toy Bear (Dark Knight),game stats.highest-indexed.Durov’s Cap (Tron),game stats.highest-indexed.Bonded Ring (Cat Bed),game stats.highest-indexed.Gem Signet (Amethyst),game stats.highest-indexed.Low Rider,game stats.highest-indexed.Low Rider (Neon Nitro),game stats.highest-indexed.Crystal Ball (Druid Circle),game stats.highest-indexed.Artisan Brick (USBrick),game stats.highest-indexed.Sakura Flower,game stats.highest-indexed.Jack in the box (Aliens),game stats.highest-indexed.Electric Skull (Terminator),game stats.highest-indexed.Hanging Star (This Is Fine),game stats.highest-indexed.Ion Gem (Prismatic),game stats.highest-indexed.Artisan Brick (Gold Bar),game stats.highest-indexed.Resistance Dog,game stats.highest-indexed.Spy Agaric,game stats.highest-indexed.Clover Pin (Corrupted),game stats.highest-indexed.Mighty Arm (Gladiator),game stats.highest-indexed.Diamond Ring (Black Hole),game stats.highest-indexed.Rose,game stats.highest-indexed.Love Potion (Banana),game stats.highest-indexed.Artisan Brick (Bomb Planted),game stats.highest-indexed.Astral Shard (Bogartite),game stats.highest-indexed.Heart Locket (Shield of Sun),game stats.highest-indexed.Flying Broom,game stats.highest-indexed.Holiday Drink,game stats.highest-indexed.Precious Peach (Angelic),game stats.highest-indexed.Hex Pox,game stats.highest-indexed.Heroic Helmet (Frozen Aegis),game stats.highest-indexed.Mad Pumpkin (Daredevil),game stats.highest-indexed.Durov’s Cap (RGB Glitch),game stats.highest-indexed.Love Candle (Golden Glow),game stats.highest-indexed.Heroic Helmet,game stats.highest-indexed.Light Sword,game stats.highest-indexed.Loot Bag (Conductor),game stats.highest-indexed.Mini Oscar (Fiery-Hot),game stats.highest-indexed.Durov’s Cap (Sunrise),game stats.highest-indexed.Gem Signet (8 Bit Diamond),game stats.highest-indexed.Hanging Star,game stats.highest-indexed.Rocket,game stats.highest-indexed.Loot Bag (Crypto Byte),game stats.highest-indexed.Durov’s Cap (Honey Bee),game stats.highest-indexed.Pet Snake,game stats.highest-indexed.Perfume Bottle,game stats.highest-indexed.Plush Pepe (Amalgam),game stats.highest-indexed.Artisan Brick (Fight Club),game stats.highest-indexed.Mighty Arm (Crystal Fist),game stats.highest-indexed.Nail Bracelet (Interstellar),game stats.highest-indexed.Snoop Dogg,game stats.highest-indexed.Durov’s Cap (Falcon),game stats.highest-indexed.Gift,game stats.highest-indexed.Valentine Box,game stats.highest-indexed.Star Notepad,game stats.highest-indexed.Genie Lamp (Cat Spirit),game stats.highest-indexed.Cupid Charm (Dryad Heart),game stats.highest-indexed.Nail Bracelet (Cat Person),game stats.highest-indexed.Hanging Star (Black Hole),game stats.highest-indexed.Ionic Dryer,game stats.highest-indexed.Jolly Chimp,game stats.highest-indexed.Flowers,game stats.highest-indexed.Astral Shard (Nectarite),game stats.highest-indexed.Scared Cat (Obelisk),game stats.highest-indexed.Hypno Lollipop,game stats.highest-indexed.Easter Egg (Creeper),game stats.highest-indexed.Durov’s Cap (Shadow),game stats.highest-indexed.Neko Helmet,game stats.highest-indexed.Jester Hat,game stats.highest-indexed.Artisan Brick (Cash Roll),game stats.highest-indexed.Mad Pumpkin (Frostbite),game stats.highest-indexed.Gem Signet,game stats.highest-indexed.Mad Pumpkin,game stats.highest-indexed.Xmax Stocking,game stats.highest-indexed.Heart Locket (Delegram),game stats.highest-indexed.Bonded Ring (Duckling),game stats.highest-indexed.Swicc Watch,game stats.highest-indexed.Witch Hat,game stats.highest-indexed.Astral Shard (Eve's Apple),game stats.highest-indexed.Tama Gadget,game stats.highest-indexed.Love Potion (Ice Queen),game stats.highest-indexed.Sakura Flower (Sunflower),game stats.highest-indexed.Cupid Charm,game stats.highest-indexed.Kissed Frog (Lava Leap),game stats.highest-indexed.Plush Pepe (Poison Dart),game stats.highest-indexed.Heart Locket (Neptune),game stats.highest-indexed.Precious Peach (Bubbling Blue),game stats.highest-indexed.Berry Box,game stats.highest-indexed.Cupid Charm (Pepe Love),game stats.highest-indexed.Mighty Arm,game stats.highest-indexed.Loot Bag (City Life),game stats.highest-indexed.Toy Bear,game stats.highest-indexed.Astral Shard,game stats.highest-indexed.Gem Signet (Elven Shade),game stats.highest-indexed.Bonded Ring (Rainbow),game stats.highest-indexed.Electric Skull (Half Alive),game stats.highest-indexed.Heart Locket (Synthwave),game stats.highest-indexed.Durov’s Cap (Sky High),game stats.highest-indexed.Magic Potion (Gold Medal),game stats.highest-indexed.Low Rider (Gold Rush),game stats.highest-indexed.Precious Peach (Rich Green),game stats.highest-indexed.Swicc Watch (Day Trader),game stats.highest-indexed.Ionic Dryer (Arc Reactor),game stats.highest-indexed.Gigner Cookie,game stats.highest-indexed.Precious Peach (Crypto Orange),game stats.highest-indexed.Sakura Flower (Flowey),game stats.highest-indexed.Jolly Chimp (Retro Cartoon),game stats.highest-indexed.Scared Cat (Cathulhu),game stats.highest-indexed.Nail Bracelet (Crypto Gem),game stats.highest-indexed.Swiss Watch (Memory Flash),game stats.highest-indexed.Record Player,game stats.highest-indexed.Bow Tie (Velvet Gold),game stats.highest-indexed.Scared Cat,game stats.highest-indexed.Durov’s Cap (Fun Time),game stats.highest-indexed.Heroic Helmet (Black Thorn),game stats.highest-indexed.Bow Tie (Dark Lord),game stats.highest-indexed.Gem Signet (Black Lotus),game stats.highest-indexed.Record Player (Dark Noir),game stats.highest-indexed.Signet Ring (Obsidian),game stats.highest-indexed.Heart Locket (Mecha Love),game stats.highest-indexed.Loot Bag (Pepe Bag),game stats.highest-indexed.Plush Pepe (Aqua Plush),game stats.highest-indexed.Durov’s Cap (Neon),game stats.highest-indexed.Nail Bracelet (Moon Cat),game stats.highest-indexed.Heart Locket (Trapped Heart)
rbxthumb://type=AvatarHeadShot&id=9421519361&w=420&h=420,Dheuch24,40,2025-10-16T08:26:06Z,2025-10-16T08:26:06Z,9421519361,15,453.0,92,8220755,158,Durov’s Cap (Neon),348750,1252,13826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=9736910126&w=420&h=420,depchik74,0,2025-10-17T01:54:43Z,2025-10-17T01:54:43Z,9736910126,147250,,7,2947075,15,Heart Locket (Trapped Heart),487500,5,3002,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=8064960169&w=420&h=420,dorochkan121,234,2025-10-15T11:58:14Z,2025-10-16T15:04:31Z,8064960169,15,1007.0,113,8473995,105,Durov’s Cap (Neon),348750,5170,16875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=2691881428&w=420&h=420,1cat_kp1,1568,2025-10-17T06:42:47Z,2025-10-17T06:49:55Z,2691881428,4465,,47,1437115,68,Precious Peach (Bubbling Blue),202750,75,63753,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=8934365987&w=420&h=420,sigmaem520,91,2025-10-15T13:05:44Z,2025-10-15T13:05:44Z,8934365987,500,,52,352290,0,Astral Shard (Aquarium),28950,225,6863,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=1267332499&w=420&h=420,Andriy071111,2203,2025-10-16T06:08:23Z,2025-10-16T06:08:23Z,1267332499,650,,76,4791525,88,Precious Peach (Crypto Orange),327300,1315,6608,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=8967146095&w=420&h=420,skjeheijd,89,2025-10-17T07:47:10Z,2025-10-17T07:47:10Z,8967146095,325,,153,33961755,679,Durov’s Cap (RGB Glitch),1075025,8973,2500,,,,,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=8848762443&w=420&h=420,GLEBASIKPIVASIK0,102,2025-10-16T09:51:19Z,2025-10-16T09:51:19Z,8848762443,15,517.0,84,1167710,169,Loot Bag (City Life),74750,1239,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=1949615806&w=420&h=420,zywweq_1,1829,2025-10-17T06:54:39Z,2025-10-17T06:54:39Z,1949615806,15,123.0,18,29820,6,Mad Pumpkin,3500,240,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=8381546171&w=420&h=420,BEHNK567,170,2025-10-15T08:42:58Z,2025-10-15T08:42:58Z,8381546171,15,571.0,97,4381670,77,Durov’s Cap (Honey Bee),305750,2907,138339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=7984275870&w=420&h=420,BeeLKr0,251,2025-10-16T10:32:04Z,2025-10-16T10:32:04Z,7984275870,15,22.0,7,1480,0,Lol Pop,325,40,4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=9341923938&w=420&h=420,Andr_23487,49,2025-10-16T13:21:20Z,2025-10-16T13:21:20Z,9341923938,15,86.0,23,62365,119,Scared Cat (Cathulhu),11725,144,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbxthumb://type=AvatarHeadShot&id=5704284265&w=420&h=420,howjjcwjbw,571,2025-10-16T13:34:27Z,2025-10-16T13:34:27Z,5704284265,100,,158,62189830,1070,Plush Pepe (Aqua Plush),3625000,27310,757975,,,,,,4398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
